Date,Symbol,Company Name,Industry,Future_Return_30D,Future_Return_30D_Rank,Top_Quartile_Outperformer_30D,Return_20D_Rank,Return_60D_Rank,Volatility_20D_Rank,Momentum_20D_Rank,RSI_14_Rank,Return_20D_vs_Market,Return_20D_vs_Industry,Volatility_20D_vs_Market,Volatility_20D_vs_Industry,Final_Ranker_Score,Final_Ranker_Score_Rank,Momentum_Score,Low_Volatility_Score,RSI_Balanced_Score,Final_Conservative_Score,Final_Balanced_Score,Final_Aggressive_Score,Profile_Rank,Investor_Profile,Allocation,Explanation
2020-01-01,BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS,0.03127004753836782,0.6938775510204082,0,0.32653061224489793,0.42857142857142855,0.02040816326530612,0.32653061224489793,0.1836734693877551,-0.014792906546192669,-0.0006493637429027164,-0.00879866172099861,-0.0034447326448601165,0.48928208246531113,0.9387755102040817,0.37755102040816324,0.9795918367346939,0.5336734693877551,0.9591836734693877,0.9510204081632653,0.9387755102040817,4.0,Aggressive,0.2,"selected because it has strong model-ranked return potential; high ML ranker score, indicating strong predicted relative performance; low recent volatility, supporting better risk control; belongs to the CONSUMER GOODS sector."
2020-01-01,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES,0.03765547611812181,0.7142857142857143,0,0.6530612244897959,0.6530612244897959,0.061224489795918366,0.6530612244897959,0.8571428571428571,0.019805790200823764,0.008032563716376211,-0.00767351694212486,-0.0043155113377293395,0.7597412322169305,1.0,0.6530612244897959,0.9387755102040817,0.7928571428571429,0.9693877551020409,0.9816326530612245,1.0,1.0,Aggressive,0.2,"selected because it has strong model-ranked return potential; high ML ranker score, indicating strong predicted relative performance; moderate positive momentum; low recent volatility, supporting better risk control; belongs to the FINANCIAL SERVICES sector."
2020-01-01,HINDUNILVR,Hindustan Unilever Ltd.,CONSUMER GOODS,0.11159019906534828,0.9387755102040817,1,0.061224489795918366,0.2857142857142857,0.10204081632653061,0.061224489795918366,0.04081632653061224,-0.05726078818507105,-0.0431172453817811,-0.007439003489347101,-0.002085074413208607,0.3024372075923738,0.9183673469387755,0.17346938775510204,0.8979591836734694,0.39081632653061227,0.9081632653061225,0.9122448979591836,0.9183673469387755,5.0,Aggressive,0.2,"selected because it has strong model-ranked return potential; high ML ranker score, indicating strong predicted relative performance; low recent volatility, supporting better risk control; belongs to the CONSUMER GOODS sector."
2020-01-01,NESTLEIND,Nestle India Ltd.,CONSUMER GOODS,0.08242072393015798,0.8571428571428571,1,0.5918367346938775,0.5510204081632653,0.46938775510204084,0.5918367346938775,0.7346938775510204,0.017692561755941166,0.03183610455923112,-0.0031244684794749372,0.002229460596663556,0.6015678984703651,0.9591836734693877,0.5714285714285714,0.5306122448979591,0.9153061224489796,0.7448979591836734,0.8306122448979592,0.9591836734693877,3.0,Aggressive,0.2,"selected because it has strong model-ranked return potential; high ML ranker score, indicating strong predicted relative performance; moderate positive momentum; RSI is in a balanced range, avoiding extreme overbought/oversold conditions; belongs to the CONSUMER GOODS sector."
2020-01-01,BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,0.12243282206414108,0.9591836734693877,1,0.9183673469387755,0.4897959183673469,0.16326530612244897,0.9183673469387755,0.7959183673469388,0.05532854336844964,0.04355531688400209,-0.006372550543199294,-0.0030145449388037735,0.6886257192140264,0.9795918367346939,0.7040816326530612,0.8367346938775511,0.8540816326530613,0.9081632653061225,0.9367346938775509,0.9795918367346939,2.0,Aggressive,0.2,"selected because it has strong model-ranked return potential; high ML ranker score, indicating strong predicted relative performance; moderate positive momentum; low recent volatility, supporting better risk control; RSI is in a balanced range, avoiding extreme overbought/oversold conditions; belongs to the FINANCIAL SERVICES sector."
2020-01-02,BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS,0.027313814108862244,0.6938775510204082,0,0.3469387755102041,0.4489795918367347,0.02040816326530612,0.3469387755102041,0.16326530612244897,-0.013254852576853687,0.003302070772654801,-0.008820542513492517,-0.0031813110998465347,0.4636643544835294,0.9387755102040817,0.3979591836734694,0.9795918367346939,0.5132653061224489,0.9591836734693877,0.9510204081632653,0.9387755102040817,4.0,Aggressive,0.2,"selected because it has strong model-ranked return potential; high ML ranker score, indicating strong predicted relative performance; low recent volatility, supporting better risk control; belongs to the CONSUMER GOODS sector."
2020-01-02,NESTLEIND,Nestle India Ltd.,CONSUMER GOODS,0.10647788259495505,0.8979591836734694,1,0.6122448979591837,0.5714285714285714,0.42857142857142855,0.6122448979591837,0.5102040816326531,0.014958643691073331,0.03151556704058182,-0.0032283500991248833,0.0024108813145210985,0.6629341459009355,1.0,0.5918367346938775,0.5714285714285714,0.860204081632653,0.7857142857142857,0.8714285714285713,1.0,1.0,Aggressive,0.2,"selected because it has strong model-ranked return potential; high ML ranker score, indicating strong predicted relative performance; moderate positive momentum; moderate volatility profile; RSI is in a balanced range, avoiding extreme overbought/oversold conditions; belongs to the CONSUMER GOODS sector."
2020-01-02,BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,0.12309087269344432,0.9387755102040817,1,0.8979591836734694,0.5102040816326531,0.16326530612244897,0.8979591836734694,0.7755102040816326,0.049330434124555705,0.03659972601248197,-0.006512460159934778,-0.0028512180671854334,0.6384755955430674,0.9795918367346939,0.7040816326530612,0.8367346938775511,0.8744897959183674,0.9081632653061225,0.9367346938775509,0.9795918367346939,2.0,Aggressive,0.2,"selected because it has strong model-ranked return potential; high ML ranker score, indicating strong predicted relative performance; moderate positive momentum; low recent volatility, supporting better risk control; RSI is in a balanced range, avoiding extreme overbought/oversold conditions; belongs to the FINANCIAL SERVICES sector."
2020-01-02,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES,0.028009804746675693,0.7142857142857143,0,0.8367346938775511,0.6938775510204082,0.12244897959183673,0.8367346938775511,0.8775510204081632,0.038023895671852576,0.025293187559778843,-0.007583512172552854,-0.003922270079803509,0.5087451007469742,0.9591836734693877,0.7653061224489797,0.8775510204081632,0.7724489795918368,0.9183673469387754,0.9346938775510203,0.9591836734693877,3.0,Aggressive,0.2,"selected because it has strong model-ranked return potential; high ML ranker score, indicating strong predicted relative performance; strong recent momentum compared with other stocks; low recent volatility, supporting better risk control; belongs to the FINANCIAL SERVICES sector."
2020-01-02,HINDUNILVR,Hindustan Unilever Ltd.,CONSUMER GOODS,0.16630117902014918,0.9795918367346939,1,0.04081632653061224,0.2857142857142857,0.04081632653061224,0.04081632653061224,0.04081632653061224,-0.06830236642183088,-0.05174544307232239,-0.008021463051669613,-0.00238223163802363,0.44022176028208304,0.9183673469387755,0.16326530612244897,0.9591836734693877,0.39081632653061227,0.9387755102040816,0.930612244897959,0.9183673469387755,5.0,Aggressive,0.2,"selected because it has strong model-ranked return potential; high ML ranker score, indicating strong predicted relative performance; low recent volatility, supporting better risk control; belongs to the CONSUMER GOODS sector."
