Model,Task,MAE,RMSE,R2,Directional_Accuracy
Linear Regression,30D return regression,0.08232890025115938,0.11103076068634637,-0.09178323061544935,0.48775925848954654
Ridge Regression,30D return regression,0.08308350599602822,0.11109297262598233,-0.09300705328915115,0.4564196350638015
Scaled Logistic Regression,30D direction classification,,,,0.4730454299846211
