Portfolio,Average_30D_Return,30D_Volatility,Annualized_Return,Annualized_Volatility,Sharpe_Ratio,Sortino_Ratio,Negative_Return_Rate,Max_Drawdown_Non_Overlapping_30D
Market Average,0.03348632826016753,0.11951285649523105,0.4018359391220103,0.41400467921485656,0.9706072401985316,0.9927187428002042,0.28807947019867547,-0.3156842751839253
Conservative Investor Portfolio,0.03666975922170675,0.11406908512831809,0.440037110660481,0.3951469020302927,1.1136038480867223,1.2722898615268905,0.27483443708609273,-0.20023098404783776
Balanced Investor Portfolio,0.05108198615080971,0.13033121371483397,0.6129838338097164,0.4514805679324202,1.3577191962367487,1.504938763420413,0.23841059602649006,-0.232667881057112
Aggressive Investor Portfolio,0.06489419267156009,0.18416974900700994,0.778730312058721,0.637982724994698,1.2206134767445196,1.4700152479741886,0.31456953642384106,-0.36859624076097625
