Strategy,Top_K,Average_30D_Return,Market_Average_30D_Return,Excess_Return_vs_Market,Positive_Excess_Return_Rate,Top_Quartile_Hit_Rate
Aggressive Investor Portfolio,5,0.06489419267156009,0.03348632826016753,0.03140786441139256,0.6158940397350994,0.34105960264900664
Aggressive Investor Portfolio,10,0.05763210203892032,0.03348632826016753,0.024145773778752794,0.7052980132450332,0.3271523178807947
Balanced Investor Portfolio,10,0.05108198615080971,0.03348632826016753,0.01759565789064218,0.6490066225165563,0.3221854304635762
Conservative Investor Portfolio,10,0.03666975922170675,0.03348632826016753,0.0031834309615392242,0.5562913907284768,0.27880794701986755
Conservative Investor Portfolio,5,0.034198875707552125,0.03348632826016753,0.0007125474473845955,0.49337748344370863,0.2509933774834437
Balanced Investor Portfolio,5,0.03398534077790353,0.03348632826016753,0.000499012517736,0.46357615894039733,0.26688741721854303
